,title,company,location,count,summary,link,uniqueid
82,Data Scientist,Government of the District of Columbia,"Washington, DC",1,"            Use descriptive statistics, predictive analytics, machine learning, and other methods to learn about and derive insights from the patterns and relations within…",https://www.indeed.com/rc/clk?jk=bb62fd44709f2f6f&fccid=cb8355041fe4a920&vjs=3,1bdc98f6256a8afc7df5bbcb9460af2c
83,Data Scientist,Citi,"New York, NY",1,"            Subject Matter Expert (SME) in at least one area of Applications Development.Appropriately assess risk when business decisions are made, demonstrating…",https://www.indeed.com/rc/clk?jk=6664002bfbe53688&fccid=5bcd1ef0a7f4fb99&vjs=3,d711301ee60692405ff1561324431311
84,Data Scientist (Summer Intern),Coupang,"Mountain View, CA",1,"            Familiar with machine learning technology, proficient in XGBoost/Tensorflow.Experience with deep learning modeling.Coupang is an equal opportunity employer.",https://www.indeed.com/rc/clk?jk=7c0106bcfa986bed&fccid=56e12959d04ef145&vjs=3,28c6fd858b3786509350820d5a426b57
85,Data Scientist,TechnologyAdvice,"Nashville, TN",1,"            The BI team is focused on finding ways to leverage our data to gain better insights into the technology buying market, drive more efficient conversations with…",https://www.indeed.com/rc/clk?jk=b0f3d27331ad0fb7&fccid=2f00ae4e43e5dac3&vjs=3,1f5d9763f63878f6097e9590b1197993
86,DATA SCIENTIST,BlueCross BlueShield of South Carolina,"Columbia, SC",1,"            Strong programming skills relevant to data-science and big data frameworks such as R, Python, SAS (SAS preferred) and data visualization tools such as Qlik or…",https://www.indeed.com/rc/clk?jk=a421ee4aa114c9f0&fccid=9b09ce5905ed1645&vjs=3,f6896a19a920a4863956ac41e2071b49
87,Data Scientist,UCLA Health,"Los Angeles, CA",1,"            The Data Scientist is responsible for developing machine learning predictive analytics models by applying advanced statistical and computational methods, and…",https://www.indeed.com/rc/clk?jk=2efe40d815e4bd1f&fccid=74540dcd08f53d72&vjs=3,9f1c25d788453741464b1cd831a167f6
88,Healthcare Data Scientist,ClosedLoop.ai,"Austin, TX",1,"            Apply cutting edge techniques in deep learning, natural language processing, and statistical analysis to real problems facing people and organizations…",https://www.indeed.com/company/ClosedLoop.ai/jobs/Healthcare-Data-Scientist-285cf75d98ec1b42?fccid=dc93e8d1f3990352&vjs=3,2f3c3ac8122391b04615848074faa07a
89,Data Scientist 2/3 - Secret,Cleared Recruiters,"Chantilly, VA",1,"            Experience creating data mining architectures/models/protocols, statistical reporting, and data analysis methodologies to identify trends in large data sets.",https://www.indeed.com/rc/clk?jk=b96714f93e0cc239&fccid=4323c95d2a6a9b5f&vjs=3,01eb9f148a80e8b17076c3ea0dae28bb
90,"Data Scientist, Entity Resolution and Data Linking",Equifax,"Alpharetta, GA",1,"            Advanced degree preferred in Machine Learning, Computer Science, Electrical Engineering, Physics, Statistics, Applied Math or other quantitative fields.",https://www.indeed.com/rc/clk?jk=104d2516da292ccb&fccid=34c446722f3cf576&vjs=3,807bfce841ac1d4708a3d47b4d3fe6f6
91,Data Scientist,Cognistx,"Pittsburgh, PA",1,"            Strong background in Machine Learning and AI. Participation in development of data analysis plans. Implementation of data analysis plans, including the creation…",https://www.indeed.com/rc/clk?jk=655846fba13c0330&fccid=b45de453d773776c&vjs=3,6593cf08b992fe4e5c1a9fb9cdf7217e
92,"Internships, Data Strategy/Data Science- Summer 2020",SILVERLINK TECHNOLOGIES LLC,NA,1,"            They use data at a campaign-level, audience-level and post-level to determine data-driven insights for future engagements. Viacom has a clear vision:",https://www.indeed.com/rc/clk?jk=d89a85ef684c0476&fccid=ae0c894528aa6eee&vjs=3,03bc2b111a769178d5ba60858a3c27b2
93,Senior Data Scientist,Charles River Laboratories,"Atlanta, GA",1,            Minimum of four years of experience building production-level machine learning and predictive analytics systems along with data pipelines.,https://www.indeed.com/rc/clk?jk=6e5db72d55bc48f6&fccid=e198e2c44e180800&vjs=3,f189e3fd299611185b8cfc995c3f7d71
94,Data Review Scientist,UNC-Chapel Hill,"Newark, DE",1,"            When you join our family, you will have a significant impact on the health and well-being of people across the globe. Provide support for laboratory as needed.",https://www.indeed.com/rc/clk?jk=1f5967cbe579ed43&fccid=b5f9cabef0362658&vjs=3,7567632879a6ba78cea3e1e74a40093b
95,Statistician Investigator,red violet,"Chapel Hill, NC",1,            Must have a minimum of five years of experience working as a collaborator with Researchers and must have a comprehensive knowledge of applied behavioral…,https://www.indeed.com/rc/clk?jk=3ff5ec0325bdc506&fccid=9a199e21f9f95369&vjs=3,d306f1e5ee7bab90c03325d259fc12b5
96,Data Scientist,"OptivityX,LLC","Seattle, WA",1,"            Degree in Computer Science, Machine Learning, Math, Statistics, Physics, or related field. You’ll use your programming, mathematics and analytics experience to…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dw7IZODvRTZYzYpHVHP6PZtVPCAxEMe5-VnKVAxg-L-Zxcl0xVmBpAk_JhjVfGnPgg7JJi-W5BXBwWahcvhkkSN9lk_K2eudnLHaOFvhl2Y3Ol85V-jIUGwtAtwgE5SOBWZ1_vdeZ2ZWCer76n8uqecAqNXAeO6sXZAJ-WcsCouauHcSXHXbWu617nUndUXOfT12Z7LiQ9ZcDigENsTZ4tFqlAzzkPBBfRAZO4VTmsytNnJxymqCuP3UZ4Grq7GS_YvdO1AVznV2x2V0LSX25OraZy0a_J2FuI_q8p1xjxmoEiFc7ovM_EcfDuhMcU0QUxovWqODhtbjwx7fxDw6_Wf2R0WLCz5quscxxRKzd8-jcVXnA4L3aut9sNePwujIY5WvIvq9riodgR-HENEHKu7KGlF5qehKkv4oK_IHYklw==&p=15&fvj=1&vjs=3,45274cea832f86c718ed609a8d2c0d20
97,Data Scientist,Valassis Digital,"Conshohocken, PA",1,"            Experience with Jupyter Notebook, Python(PyPi),text analysis and mining. Competitive salary commensurate with capability.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D7k24lLC5ROXcpLmsL7XxHKhmd7RJZcQyzOFQAFc0mO07AFi-_qh6VMTFRZYTEo_pRZDIXhj-A9dhZisPPMRq1ipYhnwVxbPZB8moGMEUJ_2gbjIg48XOP3utJgum7soh6ryfQeFpBbbt-AdHTGP2IoedfzHqeNFyi4Xj4mmJbAqsRaXDQnPlxG_7gvWG7XZaBp4P6j8UJCxVHrLojzPFg99uWwm_HN0LqmaLS7eGrnkOYfIddyKmVgKEz1GM50MBcN_yqwkdLorRVR-5-HMVOnXvOA6hjh1E-VcdZ64M_R3sK48TFPMz_u8aRz7l5_riRT70LArd7VImA3dypp2A5sSfUYkPjYXFtGzyVioZCtJNMOLwxTbrjQ9R7r80fWUFpBgjZcNRdDN7wodd3CCvPPJ4_pRzSMsY=&p=16&fvj=1&vjs=3,442f7ffd3814b58d84ece2dd4d3ad034
98,Data Scientist,Jar House,"Morrisville, NC",1,            Data Scientist – Machine Learning & Real-Time Decision Processing. Building new products with applied AI and bring them to market. On any given day you’ll be….,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CCtOQFBkQNFLW86JI2n3g743iSrihE9F06fLrjoo2w2Mcs0HBTxU74zD7uAuWUoQOlTOnyOTdDT5zjerrOGGTQmkS8pP6Vct9GvPXz5rorBblZDWKr2xrmEDLrBQZgFVldDN6JU5D0ZFb0-Q73AAZhCiClyFbj65l3KlyhZLNIS6iW1mqAVmNMiXxwz0WetIk2S9aKdQOmH2L5B3gsqDU2ClNhiFF-k4kIpoRg6fPk6NMx0D9yO_M6HOujLN2oK-ccrrey-sfisrb8KYmvP4IwKcl_vRzIN9zmLcShBKVI_6GM_McEDkVVlCqny6hlrQqL01pjgnU7EkFR-o2VSNfschYdrpr8EX6S13-2_loHaXXzbDx28HleCQu8dvyTlmZE53KitGLu4IaEZj2FaahmkZ5NicOrzZGX79xvn28_SThDCtCFDu5QNeJ46P7-BrroEtiUTZ9FpHSRuthtU5DRIRS3-5mYEBeSFDFP1LH7DdsfVoldgIYa&p=17&fvj=0&vjs=3,f745fcbc946a00fd4592c59cc9bdd484
