title,company,location,count,Job,JobType
Health Scientist (Data Scientist),Centers for Disease Control and Prevention,"Atlanta, GA",1,Job_31,Junior
Data Scientist (Entry Level),Strike Social,"Chicago, IL",1,Job_32,Entry
Data Scientist - Entry Level,Customer Value Partners,"Washington, DC",1,Job_33,Entry
Associate Data Scientist SNKRS,Nike,"New York, NY",1,Job_34,Junior
Data Scientist,Meridian Technology Group,"Atlanta, GA",1,Job_35,Junior
Jr. Data Scientist,SConcept,"New York, NY",1,Job_36,Junior
Data Scientist,Cyient,"Pittsburgh, PA",1,Job_37,Junior
Data Scientist | NPL | Machine Learning,SILVERLINK TECHNOLOGIES LLC,"Raleigh, NC",1,Job_38,Junior
Senior Data Scientist,Avancer Corporation,"Charlotte, NC",1,Job_39,Senior
Data Scientist,SunTrust,"Charlotte, NC",1,Job_40,Junior
Data Scientist,Radiant Digital,"Ashburn, VA",1,Job_41,Junior
Data Scientist – Natural Language Processing,"Conceptualeyes, LLC","Seattle, WA",1,Job_42,Junior
Data Scientist,Gallup,"Atlanta, GA",1,Job_43,Junior
Sr. Data Scientist,Hire IT People,"Raleigh, NC",1,Job_44,Senior
Data Scientist,"Discovery Communications, LLC","Bellevue, WA",1,Job_45,Junior
NLP Data Scientist,Radiology Partners,"Columbus, OH",1,Job_46,Junior
Data Scientist,Pearson,"Durham, NC",1,Job_47,Junior
Data Scientist,"U.S. Xpress Enterprises, Inc.","Atlanta, GA",1,Job_48,Junior
Data Scientist,Honey,"Boulder, CO",1,Job_49,Junior
Network Engineering Security Analytics Data Scientist,IBM,"Research Triangle Park, NC",1,Job_50,Junior
Computer Scientist (Data Scientist),Centers for Disease Control and Prevention,"Atlanta, GA",1,Job_51,Junior
Principal Data Scientist,Verizon,"Alpharetta, GA",1,Job_52,Junior
Data Scientist,CharterUP,"Atlanta, GA",1,Job_53,Junior
Senior Data Scientist,Lateral Systems INC,"Atlanta, GA",1,Job_54,Senior
Data Scientist,Unsupervised,"Boulder, CO",1,Job_55,Junior
Data Scientist,IBM,NA,1,Job_56,Junior
Exposure Data Scientist at EPA,Yale New Haven Health,"Research Triangle Park, NC",1,Job_57,Junior
JDAT - Data Scientist,BestReviews,"New Haven, CT",1,Job_58,Junior
Data Scientist,Valassis Digital,"San Francisco, CA",1,Job_59,Junior
Data Scientist,Capital Lighting Fixture Company,"Morrisville, NC",1,Job_60,Junior
"Data Scientist, New Graduate (2020)",Duolingo,"Pittsburgh, PA",1,Job_61,Junior
"Data Scientist, Engineer",ATI,"Monroe, NC",1,Job_62,Junior
"Data Scientist, Junior",Booz Allen Hamilton,"Alexandria, VA",1,Job_63,Junior
Data Scientist,Systems Soft Technologies,"Orlando, FL",1,Job_64,Junior
Data Scientist,Tekcogono,"Jersey, GA",1,Job_65,Junior
Data Scientist - Sports,Zelus Analytics,"Austin, TX",1,Job_66,Junior
